year_film,year_ceremony,category,name,film,winner,Año Ceremonia,Edad_cris,Raza_cris,Nacionalidad_cris,Película,Presupuesto,Taquilla
1943.0,1944,ACTOR,Gary Cooper,For Whom the Bell Tolls,False,1941.0,41.0,Blanca,Estados Unidos,,,
1943.0,1944,ACTOR,Gary Cooper,For Whom the Bell Tolls,False,1952.0,53.0,Blanca,Estados Unidos,,,
1952.0,1953,ACTOR,Gary Cooper,High Noon,True,1941.0,41.0,Blanca,Estados Unidos,,,
1952.0,1953,ACTOR,Gary Cooper,High Noon,True,1952.0,53.0,Blanca,Estados Unidos,,,
,2017,,Gary Oldman,,,,,,,"""Darkest Hour""",30 millones,150.8 millones
1971.0,1972,ACTOR,Gene Hackman,The French Connection,True,1070.0,41.0,Blanca,Reino Unido,,,
1945.0,1946,ACTOR,Gene Kelly,Anchors Aweigh,False,,,,,,,
1929.0,1930,ACTOR,George Arliss,Disraeli,True,,,,,,,
1929.0,1930,ACTOR,George Arliss,The Green Goddess,False,,,,,,,
1928.0,1929,ACTOR,George Bancroft,Thunderbolt,False,,,,,,,
1970.0,1971,ACTOR,George C. Scott,Patton,True,1969.0,43.0,Blanca,Estados Unidos,,,
1971.0,1972,ACTOR,George C. Scott,The Hospital,False,1969.0,43.0,Blanca,Estados Unidos,,,
1945.0,1946,ACTOR,Gregory Peck,The Keys of the Kingdom,False,1961.0,46.0,Blanca,Estados Unidos,,,
1946.0,1947,ACTOR,Gregory Peck,The Yearling,False,1961.0,46.0,Blanca,Estados Unidos,,,
1947.0,1948,ACTOR,Gregory Peck,Gentleman's Agreement,False,1961.0,46.0,Blanca,Estados Unidos,,,
1949.0,1950,ACTOR,Gregory Peck,Twelve O'Clock High,False,1961.0,46.0,Blanca,Estados Unidos,,,
,1962,,Gregory Peck,,,,,,,"""To Kill a Mockingbird""",2 millones,13.5 millones
1962.0,1963,ACTOR,Gregory Peck,To Kill a Mockingbird,True,1961.0,46.0,Blanca,Estados Unidos,,,
1940.0,1941,ACTOR,Henry Fonda,The Grapes of Wrath,False,1980.0,76.0,Blanca,Reino Unido,,,
1943.0,1944,ACTOR,Humphrey Bogart,Casablanca,False,1951.0,54.0,Blanca,Estados Unidos,,,
,1951,,Humphrey Bogart,,,,,,,"""The African Queen""",1.5 millones,4.3 millones
1951.0,1952,ACTOR,Humphrey Bogart,The African Queen,True,1951.0,54.0,Blanca,Estados Unidos,,,
1954.0,1955,ACTOR,Humphrey Bogart,The Caine Mutiny,False,1951.0,54.0,Blanca,Estados Unidos,,,
1959.0,1960,ACTOR,Jack Lemmon,Some Like It Hot,False,1972.0,48.0,Blanca,Australia,,,
1960.0,1961,ACTOR,Jack Lemmon,The Apartment,False,1972.0,48.0,Blanca,Australia,,,
1962.0,1963,ACTOR,Jack Lemmon,Days of Wine and Roses,False,1972.0,48.0,Blanca,Australia,,,
1973.0,1974,ACTOR,Jack Lemmon,Save the Tiger,True,1972.0,48.0,Blanca,Australia,,,
1970.0,1971,ACTOR,Jack Nicholson,Five Easy Pieces,False,1974.0,38.0,Blanca,Estados Unidos,,,
1970.0,1971,ACTOR,Jack Nicholson,Five Easy Pieces,False,1996.0,38.0,Blanca,Estados Unidos,,,
1973.0,1974,ACTOR,Jack Nicholson,The Last Detail,False,1974.0,38.0,Blanca,Estados Unidos,,,
1973.0,1974,ACTOR,Jack Nicholson,The Last Detail,False,1996.0,38.0,Blanca,Estados Unidos,,,
1974.0,1975,ACTOR,Jack Nicholson,Chinatown,False,1974.0,38.0,Blanca,Estados Unidos,"""One Flew Over the Cuckoo's Nest""",4.4 millones,108.9 millones
1974.0,1975,ACTOR,Jack Nicholson,Chinatown,False,1996.0,38.0,Blanca,Estados Unidos,"""One Flew Over the Cuckoo's Nest""",4.4 millones,108.9 millones
1975.0,1976,ACTOR,Jack Nicholson,One Flew over the Cuckoo's Nest,True,1974.0,38.0,Blanca,Estados Unidos,,,
1975.0,1976,ACTOR,Jack Nicholson,One Flew over the Cuckoo's Nest,True,1996.0,38.0,Blanca,Estados Unidos,,,
1930.0,1931,ACTOR,Jackie Cooper,Skippy,False,,,,,,,
1938.0,1939,ACTOR,James Cagney,Angels with Dirty Faces,False,1942.0,42.0,Blanca,Hungría,,,
,1942,,James Cagney,,,,,,,"""Yankee Doodle Dandy""",1.5 millones,6.4 millones
1942.0,1943,ACTOR,James Cagney,Yankee Doodle Dandy,True,1942.0,42.0,Blanca,Hungría,,,
1955.0,1956,ACTOR,James Cagney,Love Me or Leave Me,False,1942.0,42.0,Blanca,Hungría,,,
1955.0,1956,ACTOR,James Dean,East of Eden,False,,,,,,,
1956.0,1957,ACTOR,James Dean,Giant,False,,,,,,,
1970.0,1971,ACTOR,James Earl Jones,The Great White Hope,False,,,,,,,
1954.0,1955,ACTOR,James Mason,A Star Is Born,False,,,,,,,
1939.0,1940,ACTOR,James Stewart,Mr. Smith Goes to Washington,False,1940.0,32.0,Blanca,Estados Unidos,,,
1940.0,1941,ACTOR,James Stewart,The Philadelphia Story,True,1940.0,32.0,Blanca,Estados Unidos,,,
1946.0,1947,ACTOR,James Stewart,It's a Wonderful Life,False,1940.0,32.0,Blanca,Estados Unidos,,,
1950.0,1951,ACTOR,James Stewart,Harvey,False,1940.0,32.0,Blanca,Estados Unidos,,,
1959.0,1960,ACTOR,James Stewart,Anatomy of a Murder,False,1940.0,32.0,Blanca,Estados Unidos,,,
1975.0,1976,ACTOR,James Whitmore,"Give 'em Hell, Harry!",False,,,,,,,
,2019,,Joaquin Phoenix,,,,,,,"""Joker""",55 millones,1.074 mil millones
1947.0,1948,ACTOR,John Garfield,Body and Soul,False,,,,,,,
1949.0,1950,ACTOR,John Wayne,Sands of Iwo Jima,False,1968.0,62.0,Blanca,Estados Unidos,,,
1969.0,1970,ACTOR,John Wayne,True Grit,True,1968.0,62.0,Blanca,Estados Unidos,,,
1969.0,1970,ACTOR,Jon Voight,Midnight Cowboy,False,1977.0,39.0,Blanca,Estados Unidos,,,
1950.0,1951,ACTOR,José Ferrer,Cyrano de Bergerac,True,1950.0,41.0,Blanca,Estados Unidos,,,
1952.0,1953,ACTOR,José Ferrer,Moulin Rouge,False,1950.0,41.0,Blanca,Estados Unidos,,,
1949.0,1950,ACTOR,Kirk Douglas,Champion,False,,,,,,,
1952.0,1953,ACTOR,Kirk Douglas,The Bad and the Beautiful,False,,,,,,,
1956.0,1957,ACTOR,Kirk Douglas,Lust for Life,False,,,,,,,
1946.0,1947,ACTOR,Larry Parks,The Jolson Story,False,,,,,,,
1959.0,1960,ACTOR,Laurence Harvey,Room at the Top,False,,,,,,,
1939.0,1940,ACTOR,Laurence Olivier,Wuthering Heights,False,1958.0,41.0,Hispano,Puerto Rico,,,
1940.0,1941,ACTOR,Laurence Olivier,Rebecca,False,1958.0,41.0,Hispano,Puerto Rico,,,
1946.0,1947,ACTOR,Laurence Olivier,Henry V,False,1958.0,41.0,Hispano,Puerto Rico,,,
1948.0,1949,ACTOR,Laurence Olivier,Hamlet,True,1958.0,41.0,Hispano,Puerto Rico,,,
1960.0,1961,ACTOR,Laurence Olivier,The Entertainer,False,1958.0,41.0,Hispano,Puerto Rico,,,
1965.0,1966,ACTOR,Laurence Olivier,Othello,False,1958.0,41.0,Hispano,Puerto Rico,,,
1972.0,1973,ACTOR,Laurence Olivier,Sleuth,False,1958.0,41.0,Hispano,Puerto Rico,,,
1929.0,1930,ACTOR,Lawrence Tibbett,The Rogue Song,False,,,,,,,
1965.0,1966,ACTOR,Lee Marvin,Cat Ballou,True,1963.0,49.0,Blanca,Estados Unidos,,,
,2015,,Leonardo DiCaprio,,,,,,,"""The Revenant""",135 millones,533 millones
1932.0,1933,ACTOR,Leslie Howard,Berkeley Square,False,,,,,,,
1938.0,1939,ACTOR,Leslie Howard,Pygmalion,False,,,,,,,
1948.0,1949,ACTOR,Lew Ayres,Johnny Belinda,False,,,,,,,
1928.0,1929,ACTOR,Lewis Stone,The Patriot,False,,,,,,,
,1930,,Lionel Barrymore,,,,,,,"""A Free Soul""",1.1 millones,1.3 millones
1930.0,1931,ACTOR,Lionel Barrymore,A Free Soul,True,1930.0,53.0,Blanca,Estados Unidos,,,
1950.0,1951,ACTOR,Louis Calhern,The Magnificent Yankee,False,,,,,,,
1962.0,1963,ACTOR,Marcello Mastroianni,Divorce--Italian Style,False,,,,,,,
1951.0,1952,ACTOR,Marlon Brando,A Streetcar Named Desire,False,1953.0,30.0,Blanca,Rusia,,,
1951.0,1952,ACTOR,Marlon Brando,A Streetcar Named Desire,False,1071.0,48.0,Blanca,Estados Unidos,,,
1952.0,1953,ACTOR,Marlon Brando,Viva Zapata!,False,1953.0,30.0,Blanca,Rusia,,,
1952.0,1953,ACTOR,Marlon Brando,Viva Zapata!,False,1071.0,48.0,Blanca,Estados Unidos,,,
1953.0,1954,ACTOR,Marlon Brando,Julius Caesar,False,1953.0,30.0,Blanca,Rusia,"""On the Waterfront""",2.8 millones,9.6 millones
1953.0,1954,ACTOR,Marlon Brando,Julius Caesar,False,1071.0,48.0,Blanca,Estados Unidos,"""On the Waterfront""",2.8 millones,9.6 millones
1954.0,1955,ACTOR,Marlon Brando,On the Waterfront,True,1953.0,30.0,Blanca,Rusia,,,
1954.0,1955,ACTOR,Marlon Brando,On the Waterfront,True,1071.0,48.0,Blanca,Estados Unidos,,,
1957.0,1958,ACTOR,Marlon Brando,Sayonara,False,1953.0,30.0,Blanca,Rusia,,,
1957.0,1958,ACTOR,Marlon Brando,Sayonara,False,1071.0,48.0,Blanca,Estados Unidos,,,
1972.0,1973,ACTOR,Marlon Brando,The Godfather,True,1953.0,30.0,Blanca,Rusia,,,
1972.0,1973,ACTOR,Marlon Brando,The Godfather,True,1071.0,48.0,Blanca,Estados Unidos,,,
1973.0,1974,ACTOR,Marlon Brando,Last Tango in Paris,False,1953.0,30.0,Blanca,Rusia,,,
1973.0,1974,ACTOR,Marlon Brando,Last Tango in Paris,False,1071.0,48.0,Blanca,Estados Unidos,,,
,2013,,Matthew McConaughey,,,,,,,"""Dallas Buyers Club""",5 millones,55.2 millones
1929.0,1930,ACTOR,Maurice Chevalier,The Big Pond,False,,,,,,,
1961.0,1962,ACTOR,Maximilian Schell,Judgment at Nuremberg,True,1960.0,41.0,Afroamericana,Estados Unidos,,,
1975.0,1976,ACTOR,Maximilian Schell,The Man in the Glass Booth,False,1960.0,41.0,Afroamericana,Estados Unidos,,,
1970.0,1971,ACTOR,Melvyn Douglas,I Never Sang for My Father,False,,,,,,,
1966.0,1967,ACTOR,Michael Caine,Alfie,False,,,,,,,
1972.0,1973,ACTOR,Michael Caine,Sleuth,False,,,,,,,
1947.0,1948,ACTOR,Michael Redgrave,Mourning Becomes Electra,False,,,,,,,
1939.0,1940,ACTOR,Mickey Rooney,Babes in Arms,False,,,,,,,
1943.0,1944,ACTOR,Mickey Rooney,The Human Comedy,False,,,,,,,
1948.0,1949,ACTOR,Montgomery Clift,The Search,False,,,,,,,
1951.0,1952,ACTOR,Montgomery Clift,A Place in the Sun,False,,,,,,,
1953.0,1954,ACTOR,Montgomery Clift,From Here to Eternity,False,,,,,,,
1942.0,1943,ACTOR,Monty Woolley,The Pied Piper,False,,,,,,,
1941.0,1942,ACTOR,Orson Welles,Citizen Kane,False,,,,,,,
1965.0,1966,ACTOR,Oskar Werner,Ship of Fools,False,,,,,,,
1943.0,1944,ACTOR,Paul Lukas,Watch on the Rhine,True,1943.0,50.0,Blanca,Estados Unidos,,,
1928.0,1929,ACTOR,Paul Muni,The Valiant,False,1936.0,42.0,Blanca,Estados Unidos,,,
1932.0,1933,ACTOR,Paul Muni,I Am a Fugitive from a Chain Gang,False,1936.0,42.0,Blanca,Estados Unidos,,,
1935.0,1936,ACTOR,Paul Muni,Black Fury,False,1936.0,42.0,Blanca,Estados Unidos,,,
1936.0,1937,ACTOR,Paul Muni,The Story of Louis Pasteur,True,1936.0,42.0,Blanca,Estados Unidos,,,
1937.0,1938,ACTOR,Paul Muni,The Life of Emile Zola,False,1936.0,42.0,Blanca,Estados Unidos,,,
1959.0,1960,ACTOR,Paul Muni,The Last Angry Man,False,1936.0,42.0,Blanca,Estados Unidos,,,
1958.0,1959,ACTOR,Paul Newman,Cat on a Hot Tin Roof,False,1985.0,35.0,Blanca,Estados Unidos,,,
1961.0,1962,ACTOR,Paul Newman,The Hustler,False,1985.0,35.0,Blanca,Estados Unidos,,,
1963.0,1964,ACTOR,Paul Newman,Hud,False,1985.0,35.0,Blanca,Estados Unidos,,,
1967.0,1968,ACTOR,Paul Newman,Cool Hand Luke,False,1985.0,35.0,Blanca,Estados Unidos,,,
1966.0,1967,ACTOR,Paul Scofield,A Man for All Seasons,True,1965.0,46.0,Blanca,Estados Unidos,,,
1972.0,1973,ACTOR,Paul Winfield,Sounder,False,,,,,,,
1971.0,1972,ACTOR,Peter Finch,Sunday Bloody Sunday,False,1975.0,59.0,Blanca,Estados Unidos,,,
1962.0,1963,ACTOR,Peter O'Toole,Lawrence of Arabia,False,,,,,,,
1964.0,1965,ACTOR,Peter O'Toole,Becket,False,,,,,,,
1968.0,1969,ACTOR,Peter O'Toole,The Lion in Winter,False,,,,,,,
1969.0,1970,ACTOR,Peter O'Toole,"Goodbye, Mr. Chips",False,,,,,,,
1972.0,1973,ACTOR,Peter O'Toole,The Ruling Class,False,,,,,,,
1964.0,1965,ACTOR,Peter Sellers,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,False,,,,,,,
,2018,,Rami Malek,,,,,,,"""Bohemian Rhapsody""",52 millones,903.7 millones
1945.0,1946,ACTOR,Ray Milland,The Lost Weekend,True,1945.0,38.0,Blanca,Estados Unidos,,,
1940.0,1941,ACTOR,Raymond Massey,Abe Lincoln in Illinois,False,,,,,,,
1963.0,1964,ACTOR,Rex Harrison,Cleopatra,False,1963.0,57.0,Blanca,Estados Unidos,,,
1964.0,1965,ACTOR,Rex Harrison,My Fair Lady,True,1963.0,57.0,Blanca,Estados Unidos,,,
1927.0,1928,ACTOR,Richard Barthelmess,The Noose,False,,,,,,,
1953.0,1954,ACTOR,Richard Burton,The Robe,False,,,,,,,
1964.0,1965,ACTOR,Richard Burton,Becket,False,,,,,,,
1965.0,1966,ACTOR,Richard Burton,The Spy Who Came In from the Cold,False,,,,,,,
1966.0,1967,ACTOR,Richard Burton,Who's Afraid of Virginia Woolf?,False,,,,,,,
1969.0,1970,ACTOR,Richard Burton,Anne of the Thousand Days,False,,,,,,,
1930.0,1931,ACTOR,Richard Dix,Cimarron,False,,,,,,,
1963.0,1964,ACTOR,Richard Harris,This Sporting Life,False,,,,,,,
1949.0,1950,ACTOR,Richard Todd,The Hasty Heart,False,,,,,,,
1938.0,1939,ACTOR,Robert Donat,The Citadel,False,1939.0,33.0,Blanca,Reino Unido,,,
1939.0,1940,ACTOR,Robert Donat,"Goodbye, Mr. Chips",True,1939.0,33.0,Blanca,Reino Unido,,,
1937.0,1938,ACTOR,Robert Montgomery,Night Must Fall,False,,,,,,,
1941.0,1942,ACTOR,Robert Montgomery,Here Comes Mr. Jordan,False,,,,,,,
1973.0,1974,ACTOR,Robert Redford,The Sting,False,,,,,,,
1956.0,1957,ACTOR,Rock Hudson,Giant,False,,,,,,,
1965.0,1966,ACTOR,Rod Steiger,The Pawnbroker,False,1966.0,45.0,Blanca,Estados Unidos,,,
1967.0,1968,ACTOR,Rod Steiger,In the Heat of the Night,True,1966.0,45.0,Blanca,Estados Unidos,,,
1968.0,1969,ACTOR,Ron Moody,Oliver!,False,,,,,,,
1929.0,1930,ACTOR,Ronald Colman,Bulldog Drummond,False,1947.0,52.0,Blanca,Estados Unidos,,,
1942.0,1943,ACTOR,Ronald Colman,Random Harvest,False,1947.0,52.0,Blanca,Estados Unidos,,,
1947.0,1948,ACTOR,Ronald Colman,A Double Life,True,1947.0,52.0,Blanca,Estados Unidos,,,
1970.0,1971,ACTOR,Ryan O'Neal,Love Story,False,,,,,,,
,2008,,Sean Penn,,,,,,,"""Milk""",20 millones,54.4 millones
1958.0,1959,ACTOR,Sidney Poitier,The Defiant Ones,False,1962.0,37.0,Blanca,Reino Unido,,,
,1963,,Sidney Poitier,,,,,,,"""Lilies of the Field""",1 million,4.2 millones
1963.0,1964,ACTOR,Sidney Poitier,Lilies of the Field,True,1962.0,37.0,Blanca,Reino Unido,,,
1956.0,1957,ACTOR,Sir Laurence Olivier,Richard III,False,,,,,,,
1936.0,1937,ACTOR,Spencer Tracy,San Francisco,False,1937.0,36.0,Blanca,Estados Unidos,"""Captains Courageous""",1.6 millones,2.5 millones
1936.0,1937,ACTOR,Spencer Tracy,San Francisco,False,1938.0,37.0,Blanca,Estados Unidos,"""Captains Courageous""",1.6 millones,2.5 millones
1937.0,1938,ACTOR,Spencer Tracy,Captains Courageous,True,1937.0,36.0,Blanca,Estados Unidos,,,
1937.0,1938,ACTOR,Spencer Tracy,Captains Courageous,True,1938.0,37.0,Blanca,Estados Unidos,,,
1938.0,1939,ACTOR,Spencer Tracy,Boys Town,True,1937.0,36.0,Blanca,Estados Unidos,,,
1938.0,1939,ACTOR,Spencer Tracy,Boys Town,True,1938.0,37.0,Blanca,Estados Unidos,,,
1950.0,1951,ACTOR,Spencer Tracy,Father of the Bride,False,1937.0,36.0,Blanca,Estados Unidos,,,
1950.0,1951,ACTOR,Spencer Tracy,Father of the Bride,False,1938.0,37.0,Blanca,Estados Unidos,,,
1955.0,1956,ACTOR,Spencer Tracy,Bad Day at Black Rock,False,1937.0,36.0,Blanca,Estados Unidos,,,
1955.0,1956,ACTOR,Spencer Tracy,Bad Day at Black Rock,False,1938.0,37.0,Blanca,Estados Unidos,,,
1958.0,1959,ACTOR,Spencer Tracy,The Old Man and the Sea,False,1937.0,36.0,Blanca,Estados Unidos,,,
1958.0,1959,ACTOR,Spencer Tracy,The Old Man and the Sea,False,1938.0,37.0,Blanca,Estados Unidos,,,
1960.0,1961,ACTOR,Spencer Tracy,Inherit the Wind,False,1937.0,36.0,Blanca,Estados Unidos,,,
1960.0,1961,ACTOR,Spencer Tracy,Inherit the Wind,False,1938.0,37.0,Blanca,Estados Unidos,,,
1961.0,1962,ACTOR,Spencer Tracy,Judgment at Nuremberg,False,1937.0,36.0,Blanca,Estados Unidos,,,
1961.0,1962,ACTOR,Spencer Tracy,Judgment at Nuremberg,False,1938.0,37.0,Blanca,Estados Unidos,,,
1967.0,1968,ACTOR,Spencer Tracy,Guess Who's Coming to Dinner,False,1937.0,36.0,Blanca,Estados Unidos,,,
1967.0,1968,ACTOR,Spencer Tracy,Guess Who's Coming to Dinner,False,1938.0,37.0,Blanca,Estados Unidos,,,
1966.0,1967,ACTOR,Steve McQueen,The Sand Pebbles,False,,,,,,,
1961.0,1962,ACTOR,Stuart Whitman,The Mark,False,,,,,,,
,1994,,Tom Hanks,,,,,,,"""Forrest Gump""",55 millones,678.2 millones
1958.0,1959,ACTOR,Tony Curtis,The Defiant Ones,False,,,,,,,
